0.45387,0.43899,0.39881,0.36905,0.25893,0.23214,0,1
0.45387,0.43899,0.39881,0.32143,0.25893,0.23214,1,0
0.45536,0.51339,0.40476,0.43452,0.25893,0.26786,0,1
0.24256,0.25744,0.40476,0.43452,0.25893,0.26786,1,0
0.18899,0.19048,0.15327,0.13690,0.04464,0.02679,0,1
0.18899,0.19048,0.15327,0.42411,0.04464,0.02679,1,0
0.26339,0.24851,0.22024,0.18899,0.09821,0.07143,0,1
0.26339,0.24851,0.22024,0.39732,0.46577,0.07143,1,0
0.33185,0.33036,0.29167,0.27381,0.18750,0.16964,0,1
0.14541,0.33036,0.29167,0.27381,0.18750,0.33929,1,0
0.42857,0.42857,0.37500,0.35587,0.25000,0.23214,0,1
0.53571,0.42857,0.52232,0.35587,0.25000,0.23214,1,0
0.37202,0.35714,0.32440,0.29315,0.19643,0.16964,0,1
0.20000,0.35714,0.32440,0.29315,0.19643,0.16964,1,0
0.63839,0.64137,0.57143,0.55357,0.43452,0.41518,0,1
0.63839,0.64137,0.19515,0.55357,0.43452,0.41518,1,0
0.10826,0.10842,0.08801,0.07589,0.03571,0.02679,0,1
0.10826,0.10842,0.25000,0.07589,0.36310,0.02679,1,0
0.14796,0.15774,0.12202,0.11735,0.05357,0.04563,0,1
0.14796,0.15774,0.12202,0.11735,0.41220,0.04563,1,0
0.50446,0.53571,0.44005,0.44792,0.27679,0.26786,0,1
0.50446,0.37649,0.44005,0.44792,0.27679,0.26786,1,0
0.33185,0.35268,0.29018,0.29167,0.17857,0.16964,0,1
0.33185,0.35268,0.40816,0.29167,0.17857,0.16964,1,0
0.55804,0.54613,0.48958,0.45982,0.33705,0.30536,0,1
0.55804,0.54613,0.40625,0.45982,0.33705,0.30536,1,0
0.39137,0.38393,0.35077,0.33036,0.25765,0.23661,0,1
0.39137,0.38393,0.35077,0.33036,0.44643,0.41964,1,0
0.71577,0.70536,0.62351,0.59375,0.44643,0.41964,0,1
0.71577,0.70536,0.35077,0.59375,0.44643,0.41964,1,0
0.30208,0.31250,0.26020,0.25298,0.15179,0.13393,0,1
0.30208,0.49554,0.26020,0.25298,0.15179,0.13393,1,0
0.51071,0.55357,0.44898,0.46429,0.28571,0.28571,0,1
0.51071,0.55357,0.44898,0.46429,0.45833,0.28571,1,0
0.65179,0.66369,0.59226,0.58929,0.48661,0.48065,0,1
0.65179,0.66369,0.59226,0.58929,0.48661,0.70982,1,0
0.46429,0.50893,0.42113,0.44898,0.33333,0.34949,0,1
0.46429,0.50893,0.56696,0.44898,0.58036,0.34949,1,0
0.64286,0.63393,0.56250,0.53274,0.39821,0.36607,0,1
0.64286,0.63393,0.24702,0.53274,0.39821,0.32589,1,0
0.71875,0.76339,0.64732,0.66815,0.51042,0.52083,0,1
0.71875,0.76339,0.25893,0.66815,0.38393,0.52083,1,0
